Código do Ente;Nome do Ente;Sigla UF;Valor do Nível Socioeconômico;Ponderador do NSE entre 0,95 e 1,05
1505494;Palestina do Pará;BA;41,522505;1,023764
1505502;Paragominas;BA;43,441502;1,018792
1505536;Parauapebas;BA;45,854510;1,012540
1505551;Pau D'Arco;BA;42,304090;1,021739
1505601;Peixe-Boi;BA;38,335059;1,032023
1505635;Piçarra;BA;43,725120;1,018057
1505650;Placas;BA;42,309321;1,021725
1505700;Ponta de Pedras;BA;36,574070;1,036586
1505809;Portel;BA;35,136750;1,040310
1505908;Porto de Moz;BA;37,157652;1,035074
1506005;Prainha;BA;35,991693;1,038095
1506104;Primavera;BA;40,044618;1,027593
1506112;Quatipuru;BA;39,774800;1,028292
1506138;Redenção;BA;45,375588;1,013780
1506161;Rio Maria;BA;44,379292;1,016362
1506187;Rondon do Pará;BA;44,210323;1,016800
1506195;Rurópolis;BA;43,136008;1,019583
1506203;Salinópolis;BA;40,473840;1,026481
1506302;Salvaterra;BA;39,795726;1,028238
1506351;Santa Bárbara do Pará;BA;41,959216;1,022632
1506401;Santa Cruz do Arari;BA;36,487798;1,036809
1506500;Santa Izabel do Pará;BA;40,730915;1,025815
1506559;Santa Luzia do Pará;BA;37,941838;1,033042
1506583;Santa Maria das Barreiras;BA;41,523476;1,023761
1506609;Santa Maria do Pará;BA;39,438442;1,029164
1506708;Santana do Araguaia;BA;45,311827;1,013946
1506807;Santarém;BA;42,317538;1,021704
1506906;Santarém Novo;BA;38,337266;1,032017
1507003;Santo Antônio do Tauá;BA;40,175990;1,027253
1507102;São Caetano de Odivelas;BA;39,805852;1,028212
1507151;São Domingos do Araguaia;BA;42,594460;1,020986
1507201;São Domingos do Capim;BA;35,824152;1,038529
1507300;São Félix do Xingu;BA;43,790052;1,017889
1507409;São Francisco do Pará;BA;39,842346;1,028117
1507458;São Geraldo do Araguaia;BA;43,904194;1,017593
1507466;São João da Ponta;BA;37,307582;1,034685
1507474;São João de Pirabas;BA;37,916172;1,033108
1507508;São João do Araguaia;BA;40,909527;1,025352
1507607;São Miguel do Guamá;BA;39,403917;1,029253
1507706;São Sebastião da Boa Vista;BA;35,312246;1,039855
1507755;Sapucaia;BA;43,175985;1,019480
1507805;Senador José Porfírio;BA;39,756893;1,028339
1507904;Soure;BA;40,156928;1,027302
1507953;Tailândia;BA;41,961313;1,022627
1507961;Terra Alta;BA;38,232884;1,032287
1507979;Terra Santa;BA;42,545018;1,021115
1508001;Tomé-Açu;BA;39,420777;1,029210
1508035;Tracuateua;BA;35,891538;1,038354
1508050;Trairão;BA;44,840234;1,015167
1508084;Tucumã;BA;46,489506;1,010894
1508100;Tucuruí;BA;43,531904;1,018557
1508126;Ulianópolis;BA;43,313013;1,019125
1508159;Uruará;BA;42,367943;1,021573
1508209;Vigia;BA;40,252938;1,027053
1508308;Viseu;BA;34,852704;1,041046
1508357;Vitória do Xingu;BA;42,403269;1,021482
1508407;Xinguara;BA;44,931008;1,014932
1600055;Serra do Navio;BA;45,286686;1,014011
1600105;Amapá;BA;42,430983;1,021410
1600154;Pedra Branca do Amapari;BA;44,021747;1,017288
1600204;Calçoene;BA;42,718548;1,020665
1600212;Cutias;BA;41,548375;1,023697
1600238;Ferreira Gomes;BA;45,540031;1,013354
1600253;Itaubal;BA;40,592792;1,026173
1600279;Laranjal do Jari;BA;43,905595;1,017589
1600303;Macapá;BA;46,304008;1,011375
1600402;Mazagão;BA;40,827467;1,025565
1600501;Oiapoque;BA;44,529496;1,015973
1600535;Porto Grande;BA;43,092593;1,019696
1600550;Pracuúba;BA;40,894982;1,025390
1600600;Santana;BA;44,145532;1,016968
1600709;Tartarugalzinho;BA;41,169238;1,024679
1600808;Vitória do Jari;BA;42,129829;1,022190
1700251;Abreulândia;BA;44,093841;1,017101
1700301;Aguiarnópolis;BA;43,433162;1,018813
1700350;Aliança do Tocantins;BA;46,373342;1,011195
1700400;Almas;BA;44,239285;1,016725
1700707;Alvorada;BA;50,293043;1,001039
1701002;Ananás;BA;45,087501;1,014527
1701051;Angico;BA;43,600385;1,018380
1701101;Aparecida do Rio Negro;BA;46,785338;1,010128
1701309;Aragominas;BA;41,360534;1,024184
1701903;Araguacema;BA;43,915879;1,017563
1702000;Araguaçu;BA;49,544612;1,002978
1702109;Araguaína;BA;46,782914;1,010134
1702158;Araguanã;BA;41,162270;1,024697
1702208;Araguatins;BA;41,203208;1,024591
1702307;Arapoema;BA;46,847737;1,009966
1702406;Arraias;BA;42,522233;1,021174
1702554;Augustinópolis;BA;44,018113;1,017298
1702703;Aurora do Tocantins;BA;44,192233;1,016847
1702901;Axixá do Tocantins;BA;42,174807;1,022074
1703008;Babaçulândia;BA;42,206671;1,021991
1703057;Bandeirantes do Tocantins;BA;46,789139;1,010118
1703073;Barra do Ouro;BA;41,966411;1,022614
1703107;Barrolândia;BA;44,814810;1,015233
1703206;Bernardo Sayão;BA;44,550127;1,015919
1703305;Bom Jesus do Tocantins;BA;42,209913;1,021983
1703602;Brasilândia do Tocantins;BA;46,579784;1,010660
1703701;Brejinho de Nazaré;BA;45,976914;1,012222
1703800;Buriti do Tocantins;BA;42,114649;1,022230
1703826;Cachoeirinha;BA;41,886451;1,022821
1703842;Campos Lindos;BA;41,300539;1,024339
1703867;Cariri do Tocantins;BA;48,199670;1,006463
1703883;Carmolândia;BA;46,225646;1,011578
1703891;Carrasco Bonito;BA;38,834929;1,030728
1703909;Caseara;BA;46,683305;1,010392
1704105;Centenário;BA;39,890488;1,027993
1704600;Chapada de Areia;BA;45,358071;1,013826
1705102;Chapada da Natividade;BA;42,519582;1,021180
1705508;Colinas do Tocantins;BA;46,600637;1,010606
1705557;Combinado;BA;46,165723;1,011733
1705607;Conceição do Tocantins;BA;42,705549;1,020699
1706001;Couto Magalhães;BA;44,071831;1,017159
1706100;Cristalândia;BA;46,067809;1,011987
1706258;Crixás do Tocantins;BA;47,522694;1,008217
1706506;Darcinópolis;BA;42,810028;1,020428
1707009;Dianópolis;BA;46,903887;1,009820
1707108;Divinópolis do Tocantins;BA;46,551540;1,010733
1707207;Dois Irmãos do Tocantins;BA;42,263906;1,021843
1707306;Dueré;BA;46,265356;1,011475
1707405;Esperantina;BA;41,037845;1,025020
1707553;Fátima;BA;47,660352;1,007860
1707652;Figueirópolis;BA;48,824182;1,004845
1707702;Filadélfia;BA;41,435009;1,023991
1708205;Formoso do Araguaia;BA;46,061939;1,012002
1708254;Tabocão;BA;46,574100;1,010675
1708304;Goianorte;BA;43,741727;1,018014
1709005;Goiatins;BA;39,643570;1,028632
1709302;Guaraí;BA;47,307849;1,008774
1709500;Gurupi;BA;48,214810;1,006424
1709807;Ipueiras;BA;44,578124;1,015847
1710508;Itacajá;BA;45,403318;1,013709
1710706;Itaguatins;BA;41,719970;1,023252
1710904;Itapiratins;BA;43,081161;1,019725
1711100;Itaporã do Tocantins;BA;42,599737;1,020973
1711506;Jaú do Tocantins;BA;47,035159;1,009480
1711803;Juarina;BA;43,068965;1,019757
1711902;Lagoa da Confusão;BA;46,626207;1,010540
1711951;Lagoa do Tocantins;BA;41,850014;1,022915
1712009;Lajeado;BA;46,865504;1,009920
1712157;Lavandeira;BA;42,993889;1,019951
1712405;Lizarda;BA;40,075792;1,027512
1712454;Luzinópolis;BA;43,423921;1,018837
1712504;Marianópolis do Tocantins;BA;45,998295;1,012167
1712702;Mateiros;BA;43,320901;1,019104
1712801;Maurilândia do Tocantins;BA;41,871706;1,022859
1713205;Miracema do Tocantins;BA;46,634848;1,010518
1713304;Miranorte;BA;46,744736;1,010233
1713601;Monte do Carmo;BA;45,223708;1,014174
1713700;Monte Santo do Tocantins;BA;45,496118;1,013468
1713809;Palmeiras do Tocantins;BA;43,187194;1,019451
1713957;Muricilândia;BA;42,727205;1,020643
1714203;Natividade;BA;45,828248;1,012608
1714302;Nazaré;BA;43,032551;1,019851
1714880;Nova Olinda;BA;44,308227;1,016546
1715002;Nova Rosalândia;BA;47,865640;1,007329
1715101;Novo Acordo;BA;43,447549;1,018776
1715150;Novo Alegre;BA;46,440480;1,011021
1715259;Novo Jardim;BA;43,379830;1,018952
1715507;Oliveira de Fátima;BA;46,534349;1,010778
1715705;Palmeirante;BA;40,977867;1,025175
1715754;Palmeirópolis;BA;47,951729;1,007105
1716109;Paraíso do Tocantins;BA;48,093916;1,006737
1716208;Paranã;BA;41,636940;1,023467
1716307;Pau D'Arco;BA;44,032322;1,017261
1716505;Pedro Afonso;BA;47,057009;1,009424
1716604;Peixe;BA;47,534365;1,008187
1716653;Pequizeiro;BA;44,790915;1,015295
1716703;Colméia;BA;45,676038;1,013002
1717008;Pindorama do Tocantins;BA;43,675945;1,018184
1717206;Piraquê;BA;43,130756;1,019597
1717503;Pium;BA;46,277615;1,011443
1717800;Ponte Alta do Bom Jesus;BA;43,063229;1,019772
1717909;Ponte Alta do Tocantins;BA;44,723352;1,015470
1718006;Porto Alegre do Tocantins;BA;44,960218;1,014857
1718204;Porto Nacional;BA;47,290374;1,008819
1718303;Praia Norte;BA;42,282561;1,021795
1718402;Presidente Kennedy;BA;46,337442;1,011288
1718451;Pugmil;BA;45,288624;1,014006
1718501;Recursolândia;BA;37,218638;1,034915
1718550;Riachinho;BA;42,091684;1,022289
1718659;Rio da Conceição;BA;45,423370;1,013657
1718709;Rio dos Bois;BA;42,331178;1,021669
1718758;Rio Sono;BA;42,165442;1,022098
1718808;Sampaio;BA;41,944540;1,022670
1718840;Sandolândia;BA;47,275391;1,008858
1718865;Santa Fé do Araguaia;BA;42,608665;1,020950
1718881;Santa Maria do Tocantins;BA;40,763644;1,025730
1718899;Santa Rita do Tocantins;BA;46,185475;1,011682
1718907;Santa Rosa do Tocantins;BA;42,576041;1,021034
1719004;Santa Tereza do Tocantins;BA;43,649464;1,018253
1720002;Santa Terezinha do Tocantins;BA;42,931363;1,020113
1720101;São Bento do Tocantins;BA;41,257770;1,024450
1720150;São Félix do Tocantins;BA;37,014947;1,035443
1720200;São Miguel do Tocantins;BA;42,820750;1,020400
1720259;São Salvador do Tocantins;BA;42,706005;1,020697
1720309;São Sebastião do Tocantins;BA;42,231556;1,021927
1720499;São Valério;BA;43,021669;1,019879
1720655;Silvanópolis;BA;50,744071;0,999870
1720804;Sítio Novo do Tocantins;BA;43,908400;1,017582
1720853;Sucupira;BA;46,226750;1,011575
1720903;Taguatinga;BA;44,195673;1,016838
1720937;Taipas do Tocantins;BA;42,314120;1,021713
1720978;Talismã;BA;47,352295;1,008659
1721000;Palmas;BA;50,650484;1,000113
1721109;Tocantínia;BA;42,873180;1,020264
1721208;Tocantinópolis;BA;44,995858;1,014764
1721257;Tupirama;BA;46,357252;1,011237
1721307;Tupiratins;BA;43,003683;1,019926
1722081;Wanderlândia;BA;43,668512;1,018203
1722107;Xambioá;BA;45,060539;1,014597
2100055;Açailândia;BA;44,670974;1,015606
2100105;Afonso Cunha;BA;33,827802;1,043701
2100154;Água Doce do Maranhão;BA;38,301218;1,032110
2100204;Alcântara;BA;38,120131;1,032580
2100303;Aldeias Altas;BA;36,439742;1,036934
2100402;Altamira do Maranhão;BA;41,213569;1,024564
2100436;Alto Alegre do Maranhão;BA;39,321182;1,029468
2100477;Alto Alegre do Pindaré;BA;39,272525;1,029594
2100501;Alto Parnaíba;BA;42,180770;1,022058
2100550;Amapá do Maranhão;BA;37,557659;1,034037
2100600;Amarante do Maranhão;BA;39,190126;1,029807
2100709;Anajatuba;BA;37,646487;1,033807
2100808;Anapurus;BA;35,452892;1,039491
2100832;Apicum-Açu;BA;37,045577;1,035364
2100873;Araguanã;BA;38,053786;1,032752
2100907;Araioses;BA;36,446192;1,036917
2100956;Arame;BA;38,116085;1,032590
2101004;Arari;BA;41,316883;1,024297
2101103;Axixá;BA;38,769313;1,030898
2101202;Bacabal;BA;40,721540;1,025839
2101251;Bacabeira;BA;40,703383;1,025886
2101301;Bacuri;BA;37,159008;1,035070
2101350;Bacurituba;BA;35,811380;1,038562
2101400;Balsas;BA;43,943170;1,017492
2101509;Barão de Grajaú;BA;39,605385;1,028731
2101608;Barra do Corda;BA;42,546716;1,021110
2101707;Barreirinhas;BA;35,927248;1,038262
2101731;Belágua;BA;31,396862;1,050000
2101772;Bela Vista do Maranhão;BA;39,531965;1,028921
2101806;Benedito Leite;BA;42,766298;1,020541
2101905;Bequimão;BA;36,288580;1,037325
2101939;Bernardo do Mearim;BA;40,977631;1,025176
2101970;Boa Vista do Gurupi;BA;38,535840;1,031502
2102002;Bom Jardim;BA;39,860019;1,028072
2102036;Bom Jesus das Selvas;BA;41,351869;1,024206
2102077;Bom Lugar;BA;37,378166;1,034502
2102101;Brejo;BA;35,327573;1,039815
2102150;Brejo de Areia;BA;37,823241;1,033349
2102200;Buriti;BA;34,918005;1,040877
2102309;Buriti Bravo;BA;39,372002;1,029336
2102325;Buriticupu;BA;40,897094;1,025384
2102358;Buritirana;BA;41,871370;1,022860
2102374;Cachoeira Grande;BA;34,490935;1,041983
2102408;Cajapió;BA;34,896241;1,040933
2102507;Cajari;BA;36,771374;1,036074
2102556;Campestre do Maranhão;BA;43,240094;1,019314
2102606;Cândido Mendes;BA;38,371445;1,031928
2102705;Cantanhede;BA;39,013094;1,030266
2102754;Capinzal do Norte;BA;40,459588;1,026518
2102804;Carolina;BA;43,473941;1,018708
2102903;Carutapera;BA;39,368616;1,029345
2103000;Caxias;BA;40,933353;1,025290
2103109;Cedral;BA;38,573106;1,031406
2103125;Central do Maranhão;BA;35,998666;1,038076
2103158;Centro do Guilherme;BA;36,652649;1,036382
2103174;Centro Novo do Maranhão;BA;37,772649;1,033480
2103208;Chapadinha;BA;36,906867;1,035723
2103257;Cidelândia;BA;42,107199;1,022249
2103307;Codó;BA;39,523335;1,028944
2103406;Coelho Neto;BA;38,686262;1,031113
2103505;Colinas;BA;39,900233;1,027967
2103554;Conceição do Lago-Açu;BA;37,434151;1,034357
2103604;Coroatá;BA;37,463413;1,034281
2103703;Cururupu;BA;38,433192;1,031768
2103752;Davinópolis;BA;43,796712;1,017871
2103802;Dom Pedro;BA;41,919584;1,022735
2103901;Duque Bacelar;BA;36,290276;1,037321
2104008;Esperantinópolis;BA;40,371801;1,026745
2104057;Estreito;BA;44,858135;1,015121
2104073;Feira Nova do Maranhão;BA;40,623333;1,026094
2104081;Fernando Falcão;BA;37,901281;1,033147
2104099;Formosa da Serra Negra;BA;38,043660;1,032778
2104107;Fortaleza dos Nogueiras;BA;41,758040;1,023154
2104206;Fortuna;BA;41,002405;1,025112
2104305;Godofredo Viana;BA;40,833370;1,025550
2104404;Gonçalves Dias;BA;40,226074;1,027123
2104503;Governador Archer;BA;40,760016;1,025740
